A,B,C,D
-105.00,119295.13,1669316.67,437434.87
-100.10,111004.97,1669316.67,437434.87
-100.40,112154.22,1669316.67,437434.87
-100.50,111004.97,1669316.67,437434.87
-101.10,116295.54,1669316.67,437434.87
-101.80,111004.97,1669316.67,437434.87
-102.10,112154.22,7749000000.00,147251.99
-102.50,111004.97,15911280000.00,249574.15
-102.70,115632.43,9741600000.00,147251.99
-103.60,111004.97,741918.52,147251.99
-103.90,111004.97,489782.15,147251.99
-103.90,116295.54,92739.82,147251.99
-114.00,-,92739.82,147251.99
-108.00,119295.13,568031.37,147251.99
-111.00,-,741918.52,147251.99
-111.00,127434.47,9741600000.00,147251.99
-111.00,127434.47,15911280000.00,249574.15
-113.00,-,8929800000.00,147251.99
-114.00,121857.42,1669316.67,437434.87
-107.00,112154.22,1669316.67,437434.87
-107.00,116295.54,1669316.67,437434.87
-108.00,-,1669316.67,437434.87
-108.00,-,1669316.67,437434.87
-108.00,119295.13,1669316.67,437434.87
-109.00,112154.22,8929800000.00,147251.99
-109.00,116295.54,15911280000.00,249574.15
-110.00,121857.42,9741600000.00,147251.99
-110.00,116295.54,741918.52,147251.99
-110.00,116295.54,489782.15,147251.99
-110.00,-,92739.82,147251.99
-123.00,136659.06,92739.82,147251.99
-116.00,-,741918.52,147251.99
-121.00,-,4543128000.00,147251.99
-122.00,127434.47,12398400000.00,147251.99
-122.00,127690.62,19961424000.00,249574.15
-122.00,-,11512800000.00,147251.99
-123.00,127690.62,1669316.67,437434.87
-114.00,127434.47,1669316.67,437434.87
-115.00,112154.22,1669316.67,437434.87
-115.00,133795.12,1669316.67,437434.87
-116.00,121857.42,1669316.67,437434.87
-117.00,127434.47,1669316.67,437434.87
-117.00,133795.12,11512800000.00,147251.99
-118.00,127690.62,19961424000.00,249574.15
-118.00,-,19961424000.00,147251.99
-119.00,-,19961424000.00,147251.99
-119.00,131911.11,19961424000.00,147251.99
-121.00,127690.62,92739.82,147251.99
-134.00,146818.06,237413.93,147251.99
-126.00,133795.12,19961424000.00,147251.99
-130.00,-,19961424000.00,147251.99
-131.00,136659.06,19961424000.00,147251.99
-132.00,140170.93,19961424000.00,249574.15
-132.00,-,19961424000.00,147251.99
-133.00,140170.93,19961424000.00,437434.87
-124.00,131911.11,19961424000.00,437434.87
-124.00,-,19961424000.00,437434.87
-125.00,-,19961424000.00,437434.87
-126.00,133795.12,19961424000.00,437434.87
-127.00,133795.12,19961424000.00,437434.87
-127.00,133795.12,19961424000.00,147251.99
-127.00,-,19961424000.00,249574.15
-129.00,136659.06,12398400000.00,147251.99
-129.00,-,4543128000.00,147251.99
-130.00,133795.12,568031.37,147251.99
-130.00,133795.12,237413.93,147251.99
-147.00,-,237413.93,147251.99
-136.00,-,837556.46,147251.99
-145.00,153736.50,6509160000.00,147251.99
-145.00,153736.50,13837500000.00,147251.99
-146.00,152530.77,25977600000.00,249574.15
-146.00,-,13837500000.00,147251.99
-146.00,152530.77,1669316.67,437434.87
-134.00,-,1669316.67,437434.87
-135.00,140170.93,1669316.67,437434.87
-136.00,141678.31,1669316.67,437434.87
-136.00,140170.93,1669316.67,437434.87
-138.00,146968.88,1669316.67,437434.87
-139.00,141678.31,13837500000.00,147251.99
-139.00,146818.06,25977600000.00,249574.15
-140.00,146818.06,13837500000.00,147251.99
-140.00,146818.06,6509160000.00,147251.99
-142.00,146968.88,652076.83,147251.99
-143.00,146968.88,237413.93,147251.99
-159.00,-,237413.93,147251.99
-150.00,-,837556.46,147251.99
-155.00,-,6509160000.00,147251.99
-157.00,164468.46,15350400000.00,147251.99
-158.00,158363.96,25977600000.00,249574.15
-158.00,-,15940800000.00,147251.99
-158.00,170844.28,1669316.67,437434.87
-147.00,158363.96,1669316.67,437434.87
-149.00,153736.50,1669316.67,437434.87
-149.00,160926.25,1669316.67,437434.87
-150.00,-,1669316.67,437434.87
-151.00,152530.77,1669316.67,437434.87
-152.00,-,15940800000.00,147251.99
-152.00,158363.96,25977600000.00,249574.15
-153.00,158363.96,15350400000.00,147251.99
-153.00,158363.96,6509160000.00,147251.99
-154.00,160926.25,652076.83,147251.99
-155.00,-,237413.93,147251.99
-170.00,-,257359.27,159622.75
-162.00,177491.40,8832000000.00,159622.75
-168.00,170844.28,8832000000.00,159622.75
-168.00,-,20160000000.00,159622.75
-168.00,-,35942400000.00,270541.08
-168.00,184409.84,22040000000.00,159622.75
-169.00,-,1809557.37,474184.14
-159.00,164468.46,1809557.37,474184.14
-161.00,164468.46,1809557.37,474184.14
-161.00,-,1809557.37,474184.14
-162.00,-,1809557.37,474184.14
-163.00,-,1809557.37,474184.14
-163.00,170844.28,22040000000.00,159622.75
-164.00,-,35942400000.00,270541.08
-164.00,-,20160000000.00,159622.75
-165.00,164468.46,8832000000.00,159622.75
-166.00,-,804247.72,159622.75
-166.00,-,257359.27,159622.75
-187.00,189405.08,100530.96,199840.16
-174.00,-,804247.72,199840.16
-180.00,-,907920.28,199840.16
-182.00,-,1520530.84,199840.16
-183.00,189405.08,38880000000.00,270541.08
-183.00,-,1520530.84,199840.16
-186.00,-,1809557.37,474184.14
-171.00,-,1809557.37,474184.14
-172.00,170844.28,1809557.37,474184.14
-172.00,-,1809557.37,474184.14
-173.00,-,1809557.37,474184.14
-175.00,177491.40,1809557.37,474184.14
-175.00,-,1520530.84,199840.16
-176.00,-,38880000000.00,270541.08
-178.00,-,16640000000.00,199840.16
-178.00,-,804247.72,199840.16
-179.00,-,804247.72,199840.16
-180.00,183843.20,100530.96,199840.16
-232.00,228473.91,100530.96,199840.16
-193.00,-,615752.16,199840.16
-214.00,214365.72,907920.28,199840.16
-217.00,214365.72,1809557.37,199840.16
-221.00,221284.16,47919600000.00,270541.08
-225.00,221284.16,1520530.84,199840.16
-228.00,221284.16,1809557.37,474184.14
-187.00,-,1809557.37,474184.14
-189.00,-,1809557.37,474184.14
-190.00,195238.28,1809557.37,474184.14
-190.00,-,1809557.37,474184.14
-194.00,-,1809557.37,474184.14
-196.00,201342.78,1256637.06,199840.16
-197.00,-,47919600000.00,270541.08
-198.00,-,1809557.37,199840.16
-199.00,201342.78,615752.16,199840.16
-206.00,207718.60,615752.16,199840.16
-209.00,207718.60,100530.96,199840.16
-251.00,243667.34,1231629.98,241806.60
,-,1231629.98,241806.60
,-,2375829.44,241806.60
,-,66821040000.00,327354.71
,-,2189564.42,241806.60
,-,20870080000.00,573762.81
-236.00,228473.91,2189564.42,573762.81
-240.00,235934.97,20870080000.00,573762.81
-243.00,235934.97,2189564.42,573762.81
-247.00,243667.34,20870080000.00,573762.81
-255.00,251671.02,2189564.42,573762.81
-259.00,251671.02,14636160000.00,241806.60
-263.00,259946.02,66821040000.00,327354.71
-266.00,259946.02,24393600000.00,241806.60
-270.00,259946.02,4681248000.00,241806.60
-274.00,277309.94,2404512000.00,241806.60
-278.00,277309.94,544958.25,241806.60
,-,0.00,0.00
